Date;GPR_RUSSIA;GPR_INDIA;GPR_BRAZIL;GPR_CHINA;GPR_SAUDI_ARABIA;GPR_VENEZUELA
jul/13;"69,53796354";"63,48365327";"103,1101835";"69,67268379";"144,2912923";"65,79386561"
ago/13;"114,7162798";"81,17292766";"102,2060708";"86,73959813";"196,2830306";"118,057668"
set/13;"160,0966163";"91,9646823";"99,28291361";"101,119163";"145,6502834";"124,5711945"
out/13;"82,53128129";"90,9847887";"82,37638936";"71,99845292";"105,9482473";"106,6566703"
nov/13;"94,12417486";"69,87101293";"83,06382502";"107,7061579";"129,2209859";"123,2676743"
dez/13;"105,0554828";"66,56226081";"64,70936495";"113,8629108";"144,2157245";"89,86479206"
jan/14;"112,8727296";"82,15916898";"99,81360662";"93,5800789";"139,9611734";"85,11747045"
fev/14;"78,09680115";"62,90386812";"107,8559833";"86,28846722";"94,59815236";"202,0992571"
mar/14;"220,0771463";"78,00548953";"123,8534312";"125,3843307";"141,1994153";"186,8104483"
abr/14;"192,9602774";"77,61646271";"83,10883461";"95,65659402";"94,92260706";"123,8072297"
mai/14;"190,8261652";"83,3657004";"93,06805079";"141,1079613";"75,36543108";"138,6400904"
jun/14;"145,5283638";"77,18428512";"53,29787866";"105,8947179";"173,0518694";"142,1408606"
jul/14;"163,4137187";"62,12947997";"79,05197947";"106,8143017";"117,9989891";"131,1180546"
ago/14;"171,6895322";"62,96556718";"84,63531875";"110,391269";"152,3516241";"63,57515413"
set/14;"185,257743";"108,1722037";"97,25138493";"111,3316168";"170,4505389";"85,4034194"
out/14;"123,8898234";"99,79716116";"108,7681629";"97,04347353";"105,0853521";"132,6803123"
nov/14;"135,6743624";"79,08732862";"79,95987462";"111,0911435";"97,91913059";"118,78047"
dez/14;"124,8533795";"104,0090871";"110,2551009";"109,1242488";"128,9442814";"119,3089705"
jan/15;"140,5163084";"94,49897964";"116,3030552";"97,43621357";"117,6760071";"107,9520955"
fev/15;"183,6918003";"69,58948871";"107,8002092";"90,00080804";"110,5913305";"112,2953294"
mar/15;"135,0089453";"74,98812361";"93,7981992";"90,37236404";"161,9176159";"136,4191717"
abr/15;"149,8054068";"91,93598817";"104,730136";"99,48959237";"159,2386481";"131,4094281"
mai/15;"120,2650955";"86,46213261";"104,2653872";"94,901273";"125,3318274";"87,71107759"
jun/15;"130,9986918";"70,45175712";"64,59426283";"83,05984055";"127,2385053";"102,7833605"
jul/15;"121,9988302";"80,78919907";"91,68493844";"94,85369272";"130,1001871";"59,31961643"
ago/15;"113,4833884";"77,5106152";"116,4571864";"101,0898776";"115,3352195";"129,0201657"
set/15;"163,0758479";"103,135191";"101,3722575";"92,312715";"124,1290467";"158,3069518"
out/15;"160,9849777";"71,21298249";"82,8195125";"78,50077469";"126,0303737";"87,47129881"
nov/15;"151,914885";"84,0251216";"112,7673139";"105,1435885";"149,2268957";"79,64207762"
dez/15;"142,4261034";"73,24429666";"142,0108436";"104,1280472";"123,970377";"124,657165"
jan/16;"133,3482639";"95,57008178";"109,299972";"107,1369319";"142,5935655";"130,203837"
fev/16;"164,9270341";"68,62097199";"118,9516571";"98,37103159";"111,9170699";"83,75840972"
